symbol,direction,model,entry_ts,exit_ts,entry_price,exit_price,size_usdt,pnl,r_value,exit_reason,bars_held
BTC/USDT,long,pullback_long,2022-07-09 20:00:00+00:00,2022-07-10 02:00:00+00:00,21621.49,21262.6033133,49261.11,-817.666,-1.0,sl,12
SOL/USDT,short,swing_low_continuation,2022-07-11 00:30:00+00:00,2022-07-11 01:00:00+00:00,36.15,35.51221516,48612.09,857.6502,0.5023,tp,1
BTC/USDT,short,swing_low_continuation,2022-07-11 00:30:00+00:00,2022-07-11 06:00:00+00:00,20714.18,20422.97205064,48612.09,683.4076,0.5033,tp,11
SOL/USDT,short,swing_low_continuation,2022-07-11 01:30:00+00:00,2022-07-11 13:30:00+00:00,35.64,34.64705694,48912.27,1362.7132,0.9357,tp,24
ETH/USDT,short,swing_low_continuation,2022-07-11 01:30:00+00:00,2022-07-11 21:30:00+00:00,1153.51,1127.74819163,48912.27,1092.3776,0.8595,tp,40
BTC/USDT,short,swing_low_continuation,2022-07-11 14:00:00+00:00,2022-07-11 22:30:00+00:00,20377.32,19982.93079362,49628.41,960.5242,0.8146,tp,17
SOL/USDT,short,swing_low_continuation,2022-07-11 14:00:00+00:00,2022-07-11 22:30:00+00:00,34.8,33.76805035,49628.41,1471.6673,0.8142,tp,17
ETH/USDT,short,swing_low_continuation,2022-07-11 23:00:00+00:00,2022-07-12 07:00:00+00:00,1098.72,1070.84357694,50862.01,1290.457,0.8,tp,16
BTC/USDT,short,swing_low_continuation,2022-07-11 23:00:00+00:00,2022-07-12 09:30:00+00:00,20007.25,19610.34462198,50862.01,1009.0045,0.8,tp,21
ETH/USDT,short,swing_low_continuation,2022-07-12 10:00:00+00:00,2022-07-12 16:00:00+00:00,1054.58,1085.25604,51666.82,-1502.9049,-1.0,sl,12
BTC/USDT,short,swing_low_continuation,2022-07-12 10:00:00+00:00,2022-07-12 22:00:00+00:00,19601.29,19241.96305714,51666.82,947.1458,0.7916,tp,24
SOL/USDT,short,swing_low_continuation,2022-07-11 23:00:00+00:00,2022-07-13 00:00:00+00:00,33.53,32.46027686,50862.01,1622.6743,0.8,tp,50
BTC/USDT,short,swing_low_continuation,2022-07-12 23:30:00+00:00,2022-07-13 07:30:00+00:00,19366.17,19825.08210084,51472.31,-1219.718,-1.0,sl,16
ETH/USDT,short,swing_low_continuation,2022-07-12 23:30:00+00:00,2022-07-13 07:30:00+00:00,1042.26,1072.34192084,51472.31,-1485.6043,-1.0,sl,16
BTC/USDT,short,swing_low_continuation,2022-07-13 13:00:00+00:00,2022-07-13 17:00:00+00:00,19165.01,19790.13446919,51093.38,-1666.5643,-1.0,sl,8
SOL/USDT,short,swing_low_continuation,2022-07-13 13:00:00+00:00,2022-07-13 17:00:00+00:00,32.4,33.85490867,51093.38,-2294.3272,-1.0,sl,8
BTC/USDT,long,pullback_long,2022-07-16 04:00:00+00:00,2022-07-16 16:00:00+00:00,20738.0,21120.87324592,49707.07,917.7118,1.2,tp,24
SOL/USDT,long,pullback_long,2022-07-16 04:00:00+00:00,2022-07-16 16:00:00+00:00,37.22,38.39472523,49707.07,1568.838,1.1779,tp,24
SOL/USDT,long,pullback_long,2022-07-20 02:30:00+00:00,2022-07-20 17:00:00+00:00,44.91,43.19846164,50577.36,-1927.5238,-1.0,sl,29
SOL/USDT,long,pullback_long,2022-07-21 23:00:00+00:00,2022-07-22 16:30:00+00:00,42.78,41.28257725,49902.73,-1746.7387,-1.0,sl,35
